Benchmark,Category,Size,Vars,Cons,Found objective,Solved by,Solver calls,Solving time,Total time
gear,INLP,1036,5,1,0.0007,allinone.ubs,48,0.19,0.28
nvs04,INLP,1032,3,1,0.72,allinone.ubs,55,0.32,0.38
nvs06,INLP,1268,3,1,1.7703,onebyone.nve,28,0.40,0.47
nvs07,INLP,1360,4,3,4.0,allinone.hyb,37,0.23,0.29
nvs16,INLP,1393,3,1,0.7031,allinone.nve,36,0.24,0.28
prob02,IQCP,1876,7,9,112235.0,bin_flattened.hyb,36,17.71,17.76
prob03,IQCP,800,3,2,10.0,bin_flattened.ubs,5,0.00,0.03
nvs03,IQCQP,1185,3,3,16.0,bin_flattened.nve,4,0.02,0.06
nvs10,IQCQP,1187,3,3,-310.8,bin_flattened.hyb,12,0.13,0.19
nvs11,IQCQP,2007,4,4,-431.0,bin_flattened.nve,9,2.71,2.72
nvs12,IQCQP,3340,5,5,-481.2,bin_flattened.nve,12,992.20,999.18
nvs15,IQP,1274,4,2,1.0,bin_flattened.ubs,4,0.02,0.03
st_miqp2,IQP,1276,5,4,2.0,allinone.hyb,43,0.31,0.38
st_miqp3,IQP,962,3,2,-6.0,nobb.ubs,14,0.02,0.06
st_test1,IQP,1344,6,2,-32.0059,bin_flattened.ubs,20,0.11,0.14
st_test2,IQP,1553,7,3,-9.25,bin_flattened.nve,3,26.04,26.07
st_test3,IQP,2684,14,11,-7.0,bin_flattened.ubs,6,41.77,41.93
st_test4,IQP,1778,7,6,-7.0,nobb.ubs,14,0.06,0.08
st_testph4,IQP,1813,4,11,-80.5,bin_flattened.nve,6,0.03,0.06
ex1221,MBNLP,1599,6,6,7.6671,bin_flattened.hyb,4,0.13,0.14
ex1226,MBNLP,1961,6,6,-17.0,bin_flattened.hyb,2,0.02,0.03
gear2,MBNLP,2583,29,5,0.0003,allinone.nve,10,1.35,1.45
st_e15,MBNLP,1599,6,6,7.6671,bin_flattened.hyb,4,0.12,0.15
autocorr_bern20-03,MBQCP,2504,22,2,-72.0,bin_flattened.nve,74,0.35,0.41
autocorr_bern25-03,MBQCP,2934,27,2,-92.0,bin_flattened.nve,94,3.65,3.78
sporttournament06,MBQCP,2679,17,2,12.0,bin_flattened.hyb,12,0.05,0.07
st_e13,MBQCP,1038,3,3,2.0,bin_flattened.nve,2,0.01,0.03
alan,MBQP,1806,9,8,2.9252,bin_flattened.nve,7,0.06,0.08
gbd,MBQP,1297,5,5,2.2,allinone.ubs,12,0.00,0.03
st_e27,MBQP,1488,5,7,2.0,bin_flattened.hyb,4,0.14,0.16
gear3,MINLP,1654,9,5,0.0003,allinone.nve,50,0.29,0.37
gear4,MINLP,1345,7,2,1.6434,bin_flattened.hyb,52,18.97,19.37
nvs01,MINLP,1875,4,4,12.4696,allinone.hyb,92,1.73,1.87
nvs21,MINLP,1308,4,3,-5.6844,onebyone.ubs,157,1.78,1.96
st_e38,MINLP,2055,5,4,7197.7277,allinone.ubs,56,2.37,2.48
st_e40,MINLP,3465,5,9,30.4142,bin_flattened.nve,5,0.62,0.67
tln2,MIQCP,2051,9,13,5.3,bin_flattened.hyb,8,0.06,0.08
chance,NLP,2015,5,4,29.8946,nobb.ubs,14,0.24,0.26
ex14_1_1,NLP,2919,4,5,0.0009,nobb.ubs,13,1.47,1.49
ex14_1_5,NLP,1820,7,7,0.0,nobb.ubs,6,0.02,0.04
ex4_1_1,NLP,1333,2,1,-7.4867,nobb.hyb,4,0.02,0.04
ex4_1_3,NLP,1287,2,1,-443.6709,nobb.nve,12,0.08,0.12
ex4_1_4,NLP,986,2,1,0.0,nobb.nve,6,0.02,0.05
ex4_1_5,NLP,1224,3,1,0.0,nobb.ubs,31,0.15,0.18
ex4_1_6,NLP,1005,2,1,7.0,nobb.nve,3,0.00,0.03
ex4_1_7,NLP,1085,2,1,-7.5,nobb.nve,5,0.02,0.04
ex4_1_8,NLP,1216,3,2,-16.7388,nobb.nve,5,0.03,0.05
ex4_1_9,NLP,1856,3,3,-5.5078,nobb.hyb,16,0.06,0.11
ex7_2_2,NLP,1821,7,6,-0.3885,nobb.nve,12,123.07,123.11
ex7_3_1,NLP,3444,5,8,0.3427,nobb.nve,60,5.57,5.67
ex7_3_2,NLP,1787,5,8,1.0903,nobb.ubs,15,0.11,0.14
ex8_1_3,NLP,2186,3,1,3.0,nobb.hyb,10,0.28,0.30
ex8_1_4,NLP,1236,3,1,0.0,nobb.hyb,2,0.00,0.03
ex8_1_5,NLP,1397,3,1,-1.0312,nobb.ubs,12,0.18,0.21
ex8_1_6,NLP,1550,3,1,-10.086,nobb.nve,5,0.08,0.11
mathopt1,NLP,1422,3,3,0.0,nobb.nve,18,0.09,0.12
mathopt2,NLP,1658,3,5,0.0,nobb.hyb,2,0.01,0.02
mathopt5_4,NLP,1176,2,1,0.0,nobb.hyb,4,0.02,0.04
mathopt5_7,NLP,1345,2,1,-4.4365,nobb.nve,11,0.08,0.10
mathopt5_8,NLP,1097,2,1,-0.6857,nobb.nve,6,0.03,0.05
prob09,NLP,1239,4,2,0.0,nobb.nve,4,0.02,0.04
rbrock,NLP,970,3,1,0.0,nobb.ubs,42,0.19,0.24
st_e06,NLP,1330,4,4,0.0,nobb.hyb,2,0.01,0.02
st_e11,NLP,1474,4,3,189.3116,nobb.nve,9,1.69,1.72
st_e12,NLP,1443,5,4,-4.5139,nobb.ubs,16,1.86,1.88
st_e17,NLP,981,3,2,376.2924,nobb.ubs,18,0.07,0.10
st_e19,NLP,1508,3,3,-118.7046,nobb.ubs,22,0.18,0.20
circle,QCP,3516,4,11,4.5751,nobb.ubs,13,3.45,3.48
ex3_1_1,QCP,1868,9,7,7049.2485,nobb.ubs,25,0.31,0.33
ex3_1_4,QCP,1451,4,4,-3.9997,nobb.ubs,14,0.16,0.19
ex5_2_2_case1,QCP,1895,10,7,-399.9995,nobb.ubs,28,0.48,0.50
ex5_2_2_case2,QCP,1895,10,7,-599.9997,nobb.ubs,30,0.42,0.43
ex5_2_2_case3,QCP,1895,10,7,-749.9996,nobb.ubs,30,0.47,0.52
ex5_3_2,QCP,3215,23,17,1.8647,nobb.ubs,12,52.57,52.60
ex5_4_2,QCP,1862,9,7,7512.2304,nobb.ubs,20,0.41,0.45
ex9_1_1,QCP,2167,14,13,-13.0,nobb.nve,9,0.00,0.03
ex9_1_2,QCP,1780,11,10,-16.0,nobb.nve,4,0.00,0.03
ex9_1_4,QCP,1865,11,10,-37.0,nobb.nve,3,0.02,0.04
ex9_1_5,QCP,2076,14,13,-1.0,nobb.hyb,4,0.00,0.02
ex9_1_8,QCP,2166,15,13,-3.25,nobb.nve,4,0.01,0.02
ex9_2_3,QCP,2712,17,16,0.0002,nobb.ubs,18,0.36,0.38
haverly,QCP,2124,13,10,-399.9997,nobb.ubs,28,0.58,0.62
house,QCP,1908,9,9,-4499.9999,nobb.ubs,32,0.98,1.03
pointpack02,QCP,1437,6,4,1.9999,nobb.ubs,14,0.17,0.18
st_e01,QCP,785,3,2,-6.666,nobb.ubs,16,253.42,253.46
st_e02,QCP,1383,4,4,201.1593,nobb.nve,2,0.04,0.06
st_e05,QCP,1390,6,4,7049.2495,nobb.ubs,34,0.83,0.85
st_e07,QCP,1959,11,8,-399.9997,nobb.hyb,53,205.10,205.15
st_e08,QCP,914,3,3,0.7419,nobb.ubs,12,0.06,0.09
st_e18,QCP,1287,3,5,-2.8283,nobb.ubs,12,0.06,0.08
st_e30,QCP,2509,15,16,-1.581,nobb.ubs,14,23.73,23.75
st_e33,QCP,1888,10,7,-399.9997,nobb.ubs,28,193.08,193.14
st_e34,QCP,2144,7,5,0.0156,nobb.nve,6,0.02,0.03
wastewater02m1,QCP,3075,20,15,130.7026,nobb.nve,97,309.32,309.38
